Title,Album,Artist,Duration,Index
Song 2 (2012 Remaster),Blur,Blur,121000,263
Song For The Dumped,Naked Baby Photos,Ben Folds Five,282148,127
Soul Killing,Sounds From Nowheresville,The Ting Tings,196000,70
Spacehead,Lovely,The Primitives,131000,29
Spitfire,"Always Outnumbered, Never Outgunned",The Prodigy,307000,256
Stand Together,Check Your Head,Beastie Boys,166686,106
Still Take You Home,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,174928,75
Stockholm Syndrome,Absolution,Muse,297000,156
Stutter,Elastica,Elastica,142000,36
Supermassive Black Hole,Black Holes And Revelations,Muse,212000,300
Sure Shot,Ill Communication,Beastie Boys,199575,112
"Sweet and Tender Hooligan (John Peel Session, 12/2/86)",Louder Than Bombs,The Smiths,216000,261
Sympathy For The Devil,Beggars Banquet,The Rolling Stones,377000,298
Technologic (Radio Edit),Technologic,Daft Punk,166000,312
Technologic (Radio Edit),Technologic,Daft Punk,166000,90
That&#39;s Not My Name,We Started Nothing,The Ting Tings,310593,46
That&#39;s What You Get,Riot!,Paramore,220000,281
The Big Bad Wolf,The Glorious Dead,The Heavy,200000,301
The Con,The Con,Tegan And Sara,209000,60
The Distance,Fashion Nugget,Cake,179616,173
The Fear,"It&#39;s Not Me, It&#39;s You",Lily Allen,207000,56
The Girl Got Hot,Raditude,Weezer,194000,272
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000,45
The Moonbounce,Koop Islands,Koop,166000,38
The Negotiation Limerick File,Hello Nasty,Beastie Boys,166217,116
The Snow,Ego War,Audio Bullys,277707,83
The View From The Afternoon,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,219180,72
The Winner,Tweekend,The Crystal Method,310310,243
This Charming Man,The Smiths,The Smiths,162000,64
This Head I Hold,Mondo,Electric Guest,175000,43
Thunder,Invaders Must Die,The Prodigy,249000,141
Tick Tick Boom,The Black And White Album,The Hives,205000,110
Time For Livin&#39;,Check Your Head,Beastie Boys,108290,105
Time Is Running Out,Absolution,Muse,237000,157
Tobago Strut,Step It Up,The Bamboos,265000,52
Treat Me Like Your Mother,Horehound,The Dead Weather,250000,217
Trip Like I Do,Vegas,The Crystal Method,454239,226
Troublemaker,Weezer (Red Album),Weezer,164000,111
True Grit,Legion Of Boom,Crystal Method,306000,199
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,256000,108
U Don&#39;t Know Me,The Singles,Basement Jaxx,215000,210
Uprising,The Resistance,Muse,304000,155
Valerie Loves Me,International Pop Overthrow 20th Anniversary Edition,Material Issue,184000,271
Veteran,Ego War,Audio Bullys,197825,82
Victrola,American Thighs,Veruca Salt,139000,246
Violent Jade Suite,Beyond Good &amp; Evil,Christophe Heral,321594,185
Voyager,Discovery,Daft Punk,227000,269
Waiting Room,13 Songs,Fugazi,173000,2
Wake Up,Wake Up,Brass Against,361000,218
We Control,We Control,Hyper,201000,258
We Used To Be Friends,Welcome To The Monkey House,The Dandy Warhols,199000,47
Where&#39;s Your Head At,Rooty,Basement Jaxx,285000,134
White Rabbit,Chasing The Ghost,Collide,221000,277
White Wedding,Billy Idol,Billy Idol,251290,138
Wild International,One Day As A Lion,One Day As A Lion,227000,303
Wonderful Night (Radio Edit;; Explicit),Wonderful Night (Parental Advisory),Fatboy Slim,166000,132
Word Up,Word Up,Cameo,260000,178
You Got It All... Wrong,The Black And White Album,The Hives,162000,290
You Oughta Know,Jagged Little Pill,Alanis Morissette,249000,68
You&#39;ll Find A Way,Santogold,Santigold,180000,41
Your Time Has Come,Out Of Exile,Audioslave,255449,85
