Title,Album,Artist,Duration,Index
I Could Show You How,Burning Bridges,Naked Eyes,206000,709
I Don&#39;t Want to Know (If You Don&#39;t Want Me),Gold Medal (U.S. Version 83771),The Donnas,225000,517
I Go To Your House,Ego War,Audio Bullys,214700,142
I Hate Camera,The Bird And The Bee,The Bird &amp; The Bee,184555,248
I Just Wanna Get Along,Last Splash,The Breeders,104332,320
I Remember,Random Album Title,deadmau5,547000,718
I Still Do,"Everybody Else Is Doing It, So Why Can&#39;t We?",The Cranberries,196125,571
I Turn My Camera On,Gimme Fiction (Deluxe Edition),Spoon,212000,226
I Want You,Inside In / Inside Out,The Kooks,207000,740
I Want Your (Hands on Me),Lion and the Cobra,Sinéad O&#39;Connor,278000,604
I Will Survive,Fashion Nugget,Cake,310332,374
I&#39;ll Fly Away,"O Brother, Where Art Thou?",Alison Krauss and Gillian Welch,236834,122
I&#39;m A Lady (feat. Trouble Andrew),Santogold,Santigold,223000,120
"I&#39;m Good, I&#39;m Gone",Youth Novels,Lykke Li,189000,228
I&#39;m Like A Bird,"Whoa, Nelly!",Nelly Furtado,243000,732
I&#39;m Not Down,London Calling,Clash,186264,486
I&#39;m Not Part of Me,Here and Nowhere Else,Cloud Nothings,275000,1
I&#39;m in Love with My Life,For Life,PHASES,211000,106
I&#39;ve Been Thinking (feat. Cat Power),White People,Handsome Boy Modeling School,324000,688
If I Ever Feel Better,United,Phoenix,266000,736
If You Love Somebody Set Them Free,The Dream Of The Blue Turtles,Sting,256000,641
In 3&#39;s,Check Your Head,Beastie Boys,142584,187
In Between Days,Staring At The Sea: The Singles,The Cure,175916,661
In Hot Pursuit,Beyond Good &amp; Evil,Christophe Heral,76492,454
In My House,Only Four You,Mary Jane Girls,302000,513
In The Same Deep Water (feat. Jeffrey Fayman &amp; Robert Fripp),Trance Spirits,Steve Roach,702000,767
In the Meantime,Resident Alien,Spacehog,299000,181
Infinity Guitars,Treats,Sleigh Bells,151000,29
Inhale Remix (Instrumental),In Rare Form,RJD2,254000,491
Inner Meet Me,The Three E.P.&#39;s,The Beta Band,380081,233
Insensible,Empathy,Mandalay,288000,615
Intermittently,Maybe You Should Drive,Barenaked Ladies,185546,171
Interstate &#39;76 Theme,Interstate &#39;76 Soundtrack,Bullmark,59696,333
Invaders Must Die,Invaders Must Die,The Prodigy,295000,756
Invisible Man,Last Splash,The Breeders,167570,307
Iron Man,First Band On The Moon,Cardigans,259707,404
Is This Love,Legend,Bob Marley,230763,282
Is This Love?,Motorcade Of Generosity,Cake,198692,368
Island In The Sun,Weezer (Green Album),Weezer,200000,761
Italian Leather Sofa,Fashion Nugget,Cake,349180,378
It’s All Good,Superorganism,Superorganism,203000,605
J&#39;en Connais,Quelqu&#39;un M&#39;a Dit,Carla Bruni,154225,417
Jackie Go!,Kinda&#39; Kinky,Ursula 1000,274000,97
Jaded,Vegas,The Crystal Method,425739,632
Jamming,Legend,Bob Marley,211017,287
Jane,Maybe You Should Drive,Barenaked Ladies,244033,172
Jazz Potato,Mrs Cruff,Mr. Scruff,365000,231
Jazzy Bach,The Triplets of Belleville,Ben Charest,79794,217
Jerk It Out (New Brauer Mix),Paper Tigers,Caesars,194000,361
Jesus Wrote A Blank Check,Motorcade Of Generosity,Cake,189514,369
Jimmy James,Check Your Head,Beastie Boys,193934,175
Jimmy Jazz,London Calling,Clash,236132,477
Jique,Talk To La Bomb,Brazilian Girls,255000,304
John&#39;s Abbey,Time Waits,Bud Powell,338988,332
Joining A Fan Club,Too Cool For School Mixtape For Kids,Puffy Ami Yumi,238000,118
Joker And The Thief,Wolfmother (International Version),Wolfmother,280000,11
Journey Inwards,Journey Inwards,LTJ Bukem,314000,812
Jump Around,House Of Pain,House Of Pain,214000,705
Jump in the Line,Jump Up Calypso,Harry Belafonte,221000,534
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,652
Just What I Needed,The Cars,The Cars,225645,425
Just like Heaven (2006 Remaster),Kiss Me Kiss Me Kiss Me,The Cure,212000,712
Kate,Whatever And Ever Amen,Ben Folds Five,193199,219
Kathy&#39;s Waltz,Time Out,Dave Brubeck Quartet,289380,826
Keep Hope Alive,Vegas,The Crystal Method,372685,628
Kiara,Black Sands,Bonobo,229294,288
Killing An Arab,Staring At The Sea: The Singles,The Cure,141336,649
Kimi No Tonari,Kimi No Tonari,halca,279000,608
Kiss On My List (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,263000,264
Knock That Door,Lost Marbles and Exploded Evidence,Enon,173000,47
Know Your Chicken,Viva! La Woman,Cibo Matto,260000,468
Kong,Black Sands,Bonobo,236782,289
Kool Thing,Goo,Sonic Youth,246000,13
Koop Island Blues (feat. Ane Brun),Koop Islands,Koop,272000,62
Kung Fu,1977,Ash,136838,138
L.E.S. Artistes,Santogold,Santigold,204000,74
L&#39;amour,Quelqu&#39;un M&#39;a Dit,Carla Bruni,185311,421
L&#39;excessive,Quelqu&#39;un M&#39;a Dit,Carla Bruni,183326,420
La Derniere Minute,Quelqu&#39;un M&#39;a Dit,Carla Bruni,62660,422
La La La,The Bird And The Bee,The Bird &amp; The Bee,199183,246
La Mer,The Other Woman,Chantal Chamberland,230000,742
La Negra Celina,Loteria de la Cumbia Lounge,Charanga Cakewalk,270712,436
La Noyee,Quelqu&#39;un M&#39;a Dit,Carla Bruni,238469,415
La ritournelle,Politics,Sebastien Tellier,454000,680
Ladyfingers,Electric Honey,Luscious Jackson,207000,670
Le Freak,C&#39;est Chic,Chic,258830,440
Le Pain Perdu,Viva! La Woman,Cibo Matto,208104,472
Le Plus Beau Du Quartier,Quelqu&#39;un M&#39;a Dit,Carla Bruni,210048,419
Le Toi Du Moi,Quelqu&#39;un M&#39;a Dit,Carla Bruni,200906,416
Let My Love Open The Door,Empty Glass,Pete Townshend,164000,522
Let&#39;s Dance,Let&#39;s Dance,David Bowie,248950,836
Let&#39;s Go To Bed,Staring At The Sea: The Singles,The Cure,212862,657
Light Pattern,Dial &#39;M&#39; for Monkey,Bonobo,312000,380
Lights Go Down,Crazy Itch Radio,Basement Jaxx,313000,687
Lights Out,Santogold,Santigold,192000,73
Like the Weather,In My Tribe,"10,000 Maniacs",236000,31
Lips Like Sugar,Echo &amp; The Bunnymen,Echo And The Bunnymen,291000,492
Little People Talk,Chewing Lessons de España,Barefoot Gravediggers,173888,170
