Title,Album,Artist,Duration,Index
Coffee Shop,One Hot Minute,Red Hot Chili Peppers,188136,1116
Cold Shoulder,19,Adele,191867,154
Collapse,Irresistable Bliss,Soul Coughing,186068,850
Comanche,Motorcade Of Generosity,Cake,128934,1001
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,2415
Come As You Are,Nevermind,Nirvana,218930,587
Come On Closer,Finally Woken,Jem,227000,1409
Come On Home,Franz Ferdinand,Franz Ferdinand,225420,227
Come Out and Play,Smash,The Offspring,197000,2184
Come To Me,Koop Islands,Koop,199000,2388
Come,Zanaka,Jain,162324,2166
Come,Lemon Jelly.ky,Lemon Jelly,509000,1503
Comin&#39; Back,Vegas,The Crystal Method,339066,1108
Comin&#39; Out The Cellar,Slap Me Five,Five Fingers of Funk,204932,1656
Cominagetcha,Decksandrumsandrockandroll,Propellerheads,420680,199
Commissioning A Symphony In C,Comfort Eagle,Cake,178308,1389
Communication Breakdown,Led Zeppelin,Led Zeppelin,150202,526
Compacto,JapanPopShow,Curumin,206000,1603
Conga Fury,Bible Of Dreams,Juno Reactor,486918,434
Connection,Elastica,Elastica,140000,2401
Conquest,Conquest,The White Stripes,168000,2046
Consider This,Short Bus,Filter,257660,318
Consoler Of The Lonely,Consolers of the Lonely,The Raconteurs,205000,1730
Contact,Regatta De Blanc,The Police,157334,551
Contigo,Gran Hotel Buenos Aires,Federico Aubele,226000,1505
Conversacion,Cachaito,Orlando Lopez,399724,450
Copycat,Bury The Hatchet,The Cranberries,173765,442
Corner Store,Brazilian Girls,Brazilian Girls,253000,1608
Cornman,Kinky,Kinky,210990,1431
Corona,Convict Pool,Calexico,201000,2500
Cosmic Girl,High Times: Singles 1992-2006,Jamiroquai,227890,134
Cosmos (Outer Space),Dangerous And Moving,t.A.T.u.,252000,1242
Cotton Wool,Lamb,Lamb,307824,201
Could You Be Loved,Legend,Bob Marley,237163,884
Country Livin&#39; (The World I Know),Breath From Another,Esthero,261000,2466
Country Livin&#39; (The World I Know),Breath From Another,Esthero,261221,1021
Cousin Mary,Giant Steps,John Coltrane Quartet,349541,1102
Crackity Jones,Doolittle,Pixies,84000,2471
Crackity Jones,Doolittle,Pixies,84244,589
Crash,Lovely,The Primitives,151000,2406
Crazy Little Thing Called Love,The Game,Queen,163472,197
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,2131
Crazy on You,Dreamboat Annie,Heart,293332,1064
Crucify,Little Earthquakes,Tori Amos,297908,9
Cruel Youth,Beatitude,Pepe Deluxé,338728,681
Cult of Personality,Vivid,Living Colour,294000,1973
Cumulus,Cumulus,Imogen Heap,284000,2443
Cutie Chaser,DDR Max Soundtrack,Club Spice,82914,835
Cuyahoga,Life&#39;s Rich Pageant,R.E.M.,260310,1216
D Song,Dial &#39;M&#39; for Monkey,Bonobo,319000,2090
D.A.N.C.E,Cross,Justice,242000,1498
DC 3000,DC 3000,Thievery Corporation,266552,103
D&#39;yer Mak&#39;er,Houses Of The Holy,Led Zeppelin,262763,1008
Daddy&#39;s Blazin&#39; BBQ,Beatitude,Pepe Deluxé,198250,775
Dance Commander,Fire,Electric Six,156000,2256
Dance On My Own,Now And Zen,Robert Plant,269256,1959
Dancing Days,Houses Of The Holy,Led Zeppelin,223475,1298
Dancing Nancies,Under The Table And Dreaming,Dave Matthews Band,363688,573
Dancing Queen,Arrival,ABBA,230000,2488
Dancing Shoes,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,142532,1094
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478,79
Dancing the whole way home,Dancing the whole way home,Miss Li,169000,2380
Dancing with Domz,Beyond Good &amp; Evil,Christophe Heral,275236,987
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000,2257
Dani California,Stadium Arcadium: Jupiter [Disc 1],Red Hot Chili Peppers,280956,1413
Danse Macabre,Creepy Classics,Various Artists,476658,2036
Danser,Hawaï,Java,255606,2118
Daphne Descends,Adore,Smashing Pumpkins,283191,462
